1248|"545926"|"390483"|"32775336"
1248|"545930"|"390483"|"32775421"
1248|"545931"|"390483"|"32775499"
1248|"545932"|"390483"|"32775577"
5525|"545924"|"390482"|"32775186"
5525|"545925"|"390482"|"32775264"
5525|"545928"|"390482"|"32775366"
5525|"545930"|"390482"|"32775420"
5525|"545931"|"390482"|"32775498"
5525|"545932"|"390482"|"32775576"
21002|"545924"|"390481"|"32775214"
21002|"545925"|"390481"|"32775292"
21002|"545928"|"390481"|"32775376"
21002|"545930"|"390481"|"32775448"
21002|"545931"|"390481"|"32775526"
21002|"545932"|"390481"|"32775604"
27357|"545924"|"390480"|"32775220"
27357|"545925"|"390480"|"32775298"
27357|"545928"|"390480"|"32775382"
27357|"545930"|"390480"|"32775454"
27357|"545931"|"390480"|"32775532"
27357|"545932"|"390480"|"32775610"
13158|"545924"|"390479"|"32775216"
13158|"545925"|"390479"|"32775294"
13158|"545928"|"390479"|"32775378"
13158|"545930"|"390479"|"32775450"
13158|"545931"|"390479"|"32775528"
13158|"545932"|"390479"|"32775606"
34007|"545924"|"390478"|"32775215"
34007|"545925"|"390478"|"32775293"
34007|"545928"|"390478"|"32775377"
34007|"545930"|"390478"|"32775449"
34007|"545931"|"390478"|"32775527"
34007|"545932"|"390478"|"32775605"
4621|"545924"|"390477"|"32775238"
4621|"545925"|"390477"|"32775316"
4621|"545928"|"390477"|"32775392"
4621|"545930"|"390477"|"32775472"
4621|"545931"|"390477"|"32775550"
4621|"545932"|"390477"|"32775628"
28571|"545924"|"390476"|"32775218"
28571|"545925"|"390476"|"32775296"
28571|"545928"|"390476"|"32775380"
28571|"545930"|"390476"|"32775452"
28571|"545931"|"390476"|"32775530"
28571|"545932"|"390476"|"32775608"
1948|"545924"|"390475"|"32775217"
1948|"545925"|"390475"|"32775295"
1948|"545928"|"390475"|"32775379"
1948|"545930"|"390475"|"32775451"
1948|"545931"|"390475"|"32775529"
1948|"545932"|"390475"|"32775607"
6763|"545924"|"390474"|"32775185"
6763|"545925"|"390474"|"32775263"
6763|"545928"|"390474"|"32775365"
6763|"545930"|"390474"|"32775419"
6763|"545931"|"390474"|"32775497"
6763|"545932"|"390474"|"32775575"
733|"545924"|"390473"|"32775184"
733|"545925"|"390473"|"32775262"
733|"545928"|"390473"|"32775364"
733|"545930"|"390473"|"32775418"
733|"545931"|"390473"|"32775496"
733|"545932"|"390473"|"32775574"
5935|"545924"|"390472"|"32775237"
5935|"545925"|"390472"|"32775315"
5935|"545928"|"390472"|"32775391"
5935|"545930"|"390472"|"32775471"
5935|"545931"|"390472"|"32775549"
5935|"545932"|"390472"|"32775627"
3973|"545924"|"390471"|"32775236"
3973|"545925"|"390471"|"32775314"
3973|"545928"|"390471"|"32775390"
3973|"545930"|"390471"|"32775470"
3973|"545931"|"390471"|"32775548"
3973|"545932"|"390471"|"32775626"
8376|"545924"|"390470"|"32775183"
8376|"545925"|"390470"|"32775261"
8376|"545926"|"390470"|"32775335"
8376|"545930"|"390470"|"32775417"
8376|"545931"|"390470"|"32775495"
8376|"545932"|"390470"|"32775573"
8623|"545924"|"390469"|"32775182"
8623|"545925"|"390469"|"32775260"
8623|"545926"|"390469"|"32775334"
8623|"545930"|"390469"|"32775416"
8623|"545931"|"390469"|"32775494"
8623|"545932"|"390469"|"32775572"
28420|"545924"|"390468"|"32775181"
28420|"545925"|"390468"|"32775259"
28420|"545926"|"390468"|"32775333"
28420|"545930"|"390468"|"32775415"
28420|"545931"|"390468"|"32775493"
28420|"545932"|"390468"|"32775571"
5123|"545924"|"390467"|"32775250"
5123|"545925"|"390467"|"32775328"
5123|"545926"|"390467"|"32775359"
5123|"545930"|"390467"|"32775484"
5123|"545931"|"390467"|"32775562"
5123|"545932"|"390467"|"32775640"
3853|"545924"|"390466"|"32775180"
3853|"545925"|"390466"|"32775258"
3853|"545928"|"390466"|"32775363"
3853|"545930"|"390466"|"32775414"
