"CL"|No |"71621611"|"133018694"
"CH"|Yes|"71621610"|"133018691"
"CL"|No |"71621610"|"133018692"
"CL"|Yes|"71621609"|"133018690"
"CL"|Yes|"71621612"|"133018695"
"CH"|Yes|"71621613"|"133018696"
"CL"|No |"71621613"|"133018697"
"CH"|Yes|"71621614"|"133018698"
"CL"|No |"71621614"|"133018699"
"CL"|No |"71621900"|"133019188"
"CH"|Yes|"71621900"|"133019189"
"CL"|No |"71621899"|"133019186"
"CH"|Yes|"71621899"|"133019187"
"CH"|Yes|"71622538"|"133020261"
"CL"|No |"71622538"|"133020262"
"CH"|Yes|"71622539"|"133020263"
"CL"|No |"71622539"|"133020264"
"CH"|Yes|"71622738"|"133020577"
"CL"|No |"71622738"|"133020578"
"CL"|No |"71622737"|"133020574"
"GC"|No |"71622737"|"133020575"
"CH"|Yes|"71622737"|"133020576"
"CH"|No |"71622391"|"133020036"
"GC"|Yes|"71622391"|"133020037"
"CL"|No |"71622391"|"133020038"
"CH"|No |"71622392"|"133020039"
"GC"|Yes|"71622392"|"133020040"
"CL"|No |"71622545"|"133020272"
"CH"|No |"71622545"|"133020273"
"GC"|Yes|"71622545"|"133020274"
"CH"|Yes|"71622544"|"133020269"
"CL"|No |"71622544"|"133020270"
"GC"|No |"71622544"|"133020271"
"GC"|Yes|"71622121"|"133019561"
"CH"|Yes|"71622151"|"133019618"
"CH"|Yes|"71622152"|"133019619"
"CH"|Yes|"71622153"|"133019620"
"CH"|Yes|"71622705"|"133020524"
"CL"|No |"71622705"|"133020525"
"CH"|Yes|"71622704"|"133020522"
"CL"|No |"71622704"|"133020523"
"CH"|Yes|"71622706"|"133020526"
"CL"|No |"71622706"|"133020527"
"CH"|Yes|"71622708"|"133020529"
"CH"|Yes|"71622709"|"133020530"
"CH"|Yes|"71622707"|"133020528"
"CL"|Yes|"71622122"|"133019562"
"SC"|No |"71622122"|"133019563"
"CL"|Yes|"71622124"|"133019565"
"CL"|Yes|"71622123"|"133019564"
"CL"|Yes|"71621963"|"133019308"
"SC"|No |"71621963"|"133019309"
"CL"|Yes|"71621964"|"133019310"
"CL"|Yes|"71621965"|"133019311"
"CL"|Yes|"71621791"|"133019010"
"CL"|Yes|"71621790"|"133019009"
"CH"|No |"71621792"|"133019011"
"CL"|Yes|"71621792"|"133019012"
"CL"|Yes|"71621967"|"133019313"
"CL"|Yes|"71621966"|"133019312"
"CH"|No |"71621968"|"133019314"
"CL"|Yes|"71621968"|"133019315"
"CL"|Yes|"71621793"|"133019013"
"CL"|Yes|"71621794"|"133019014"
"CH"|No |"71621795"|"133019015"
"CL"|Yes|"71621795"|"133019016"
"CL"|No |"71622602"|"133020355"
"SC-SM"|No |"71622602"|"133020356"
"SC"|Yes|"71622602"|"133020357"
"CH"|Yes|"71622604"|"133020361"
"CL"|No |"71622604"|"133020362"
"CH"|No |"71622603"|"133020358"
"CL"|Yes|"71622603"|"133020359"
"SC"|No |"71622603"|"133020360"
"CL"|Yes|"71622605"|"133020363"
"SC"|No |"71622605"|"133020364"
"CL"|Yes|"71621678"|"133018813"
"SC"|No |"71621678"|"133018814"
"CH"|No |"71621677"|"133018810"
"CL"|Yes|"71621677"|"133018811"
"SC"|No |"71621677"|"133018812"
"CL"|No |"71621679"|"133018815"
"SC-SM"|No |"71621679"|"133018816"
"SC"|Yes|"71621679"|"133018817"
"CH"|Yes|"71621676"|"133018808"
"CL"|No |"71621676"|"133018809"
"CL"|No |"71621672"|"133018798"
"SC-SM"|No |"71621672"|"133018799"
"SC"|Yes|"71621672"|"133018800"
"CL"|Yes|"71621675"|"133018806"
"SC"|No |"71621675"|"133018807"
"CH"|No |"71621674"|"133018803"
"CL"|Yes|"71621674"|"133018804"
"SC"|No |"71621674"|"133018805"
"CH"|Yes|"71621673"|"133018801"
"CL"|No |"71621673"|"133018802"
"CL-ML"|Yes|"71621796"|"133019017"
"CL"|No |"71621796"|"133019018"
"SC-SM"|No |"71621796"|"133019019"
"CH"|No |"71621797"|"133019020"
"CL"|Yes|"71621797"|"133019021"
"CL"|Yes|"71621798"|"133019022"
"SC"|No |"71621798"|"133019023"
"CL"|Yes|"71621970"|"133019319"
"CL-ML"|No |"71621970"|"133019320"
"SC"|No |"71621970"|"133019321"
"SC-SM"|No |"71621970"|"133019322"
"SC-SM"|Yes|"71621969"|"133019316"
"SC"|No |"71621969"|"133019317"
"SM"|No |"71621969"|"133019318"
"CL"|Yes|"71621800"|"133019027"
"CL-ML"|No |"71621800"|"133019028"
"SC"|No |"71621800"|"133019029"
"SC-SM"|No |"71621800"|"133019030"
"SC-SM"|Yes|"71621799"|"133019024"
"SC"|No |"71621799"|"133019025"
"SM"|No |"71621799"|"133019026"
"SM"|Yes|"71621971"|"133019323"
"CL-ML"|No |"71621971"|"133019324"
"SM"|Yes|"71621972"|"133019325"
"CL-ML"|No |"71621972"|"133019326"
"SM"|Yes|"71622126"|"133019568"
"CL-ML"|No |"71622126"|"133019569"
"SM"|Yes|"71622125"|"133019566"
"CL-ML"|No |"71622125"|"133019567"
"CL"|Yes|"71622129"|"133019571"
"CL"|Yes|"71622128"|"133019570"
"CH"|No |"71622271"|"133019828"
"CL"|Yes|"71622271"|"133019829"
"CL"|Yes|"71622273"|"133019832"
"CH"|No |"71622273"|"133019833"
"CL"|Yes|"71622274"|"133019834"
"CH"|No |"71622274"|"133019835"
"ML"|No |"71622274"|"133019836"
"CL-ML"|No |"71622274"|"133019837"
"CL"|Yes|"71622272"|"133019830"
"CH"|No |"71622272"|"133019831"
"SP-SM"|Yes|"71622281"|"133019855"
"SC-SM"|No |"71622281"|"133019856"
"GW"|No |"71622281"|"133019857"
"SW-SM"|No |"71622281"|"133019858"
"GP"|No |"71622281"|"133019859"
"GP-GC"|No |"71622281"|"133019860"
"GW"|No |"71622280"|"133019852"
"GP-GM"|Yes|"71622280"|"133019853"
"GC-GM"|No |"71622280"|"133019854"
"SC-SM"|Yes|"71622279"|"133019848"
"GP-GM"|No |"71622279"|"133019849"
"GM"|No |"71622279"|"133019850"
"SM"|No |"71622279"|"133019851"
"CL"|No |"71622187"|"133019681"
"CH"|Yes|"71622187"|"133019682"
"CH"|Yes|"71622188"|"133019683"
