"Cambic horizon"|10|25|30|100|152|203|70|127|193|"24093074"|"14505318"
"Secondary carbonates"|0|0|30|100|152|203|70|152|203|"24093074"|"14505316"
"Ochric epipedon"|0|0|0|10|25|30|10|25|30|"24093074"|"14505317"
"Slickensides"|10|25|50|100|114|203|50|89|193|"24093074"|"14505319"
"Densic contact"|100|114|150|||||||"24093074"|"14505320"
"Free carbonates"|0|0|0|125|152|203|125|152|203|"24093074"|"14505315"
"Cambic horizon"|10|10|51|137|203|203|86|193|193|"24092912"|"14504943"
"Secondary carbonates"|10|10|51|203|203|203|152|193|193|"24092912"|"14504944"
"Mollic epipedon"|0|0|0|10|10|51|10|10|51|"24092912"|"14504945"
"Slickensides"|10|31|51|137|203|203|86|172|193|"24092912"|"14504942"
"Redox concentrations"|0|0|0|0|203|203|0|203|203|"24092912"|"14504941"
"Cambic horizon"|10|11|46|25|32|50|0|21|40|"24092913"|"14504946"
"Secondary carbonates"|25|32|100|50|218|218|25|186|193|"24092913"|"14504948"
"Mollic epipedon"|0|0|0|10|11|46|10|11|46|"24092913"|"14504951"
"Slickensides"|25|32|50|150|204|218|100|172|193|"24092913"|"14504947"
"Salt accumulations"|100|161|175|150|218|218|25|57|100|"24092913"|"14504949"
"Free carbonates"|25|32|100|50|218|218|25|186|193|"24092913"|"14504950"
"Secondary carbonates"|18|97|193|94|175|229|21|78|185|"24092914"|"14504953"
"Mollic epipedon"|0|0|0|10|58|60|10|18|60|"24092914"|"14504956"
"Slickensides"|20|58|87|95|175|229|62|117|142|"24092914"|"14504952"
"Lithologic discontinuity"|150|175|203|203|229|229|26|54|79|"24092914"|"14504955"
"Free carbonates"|20|58|193|147|229|229|10|107|183|"24092914"|"14504954"
"Cambic horizon"|10|10|51|137|203|203|86|193|193|"24092920"|"14504975"
"Secondary carbonates"|10|10|51|203|203|203|152|193|193|"24092920"|"14504976"
"Mollic epipedon"|0|0|0|10|10|51|10|10|51|"24092920"|"14504977"
"Slickensides"|10|31|51|137|203|203|86|172|193|"24092920"|"14504974"
"Redox concentrations"|0|0|0|0|203|203|0|203|203|"24092920"|"14504973"
"Cambic horizon"|10|11|46|25|32|50|0|21|40|"24092921"|"14504978"
"Secondary carbonates"|25|32|100|50|218|218|25|186|193|"24092921"|"14504980"
"Mollic epipedon"|0|0|0|10|11|46|10|11|46|"24092921"|"14504983"
"Slickensides"|25|32|50|150|204|218|100|172|193|"24092921"|"14504979"
"Salt accumulations"|100|161|175|150|218|218|25|57|100|"24092921"|"14504981"
"Free carbonates"|25|32|100|50|218|218|25|186|193|"24092921"|"14504982"
"Secondary carbonates"|18|97|193|94|175|229|21|78|185|"24092922"|"14504985"
"Mollic epipedon"|0|0|0|10|58|60|10|18|60|"24092922"|"14504988"
"Slickensides"|20|58|87|95|175|229|62|117|142|"24092922"|"14504984"
"Lithologic discontinuity"|150|175|203|203|229|229|26|54|79|"24092922"|"14504987"
"Free carbonates"|20|58|193|147|229|229|10|107|183|"24092922"|"14504986"
"Cambic horizon"|10|11|46|25|32|50|0|21|40|"24092828"|"14504765"
"Secondary carbonates"|25|32|100|50|218|218|25|186|193|"24092828"|"14504767"
"Mollic epipedon"|0|0|0|10|11|46|10|11|46|"24092828"|"14504764"
"Slickensides"|25|32|50|150|204|218|100|172|193|"24092828"|"14504766"
"Salt accumulations"|100|161|175|150|218|218|25|57|100|"24092828"|"14504768"
"Free carbonates"|25|32|100|50|218|218|25|186|193|"24092828"|"14504769"
"Cambic horizon"|10|15|46|25|203|203|15|188|193|"24092829"|"14504772"
"Calcic horizon"|175|178|203|203|203|203|0|25|28|"24092829"|"14504775"
"Secondary carbonates"|0|0|100|203|203|203|103|203|203|"24092829"|"14504771"
"Mollic epipedon"|0|0|0|10|15|46|10|15|46|"24092829"|"14504770"
"Slickensides"|15|15|50|150|203|203|100|188|188|"24092829"|"14504773"
"Redox concentrations"|0|15|100|150|203|203|150|188|203|"24092829"|"14504774"
"Cambic horizon"|20|46|66|102|147|165|36|101|145|"24092830"|"14504777"
"Secondary carbonates"|15|15|76|102|203|203|26|188|188|"24092830"|"14504780"
"Mollic epipedon"|0|0|0|20|46|66|20|46|66|"24092830"|"14504776"
"Slickensides"|15|15|76|102|147|165|30|132|140|"24092830"|"14504778"
"Densic materials"|102|147|165|127|203|203|25|56|101|"24092830"|"14504781"
"Free carbonates"|0|0|30|203|203|203|173|203|203|"24092830"|"14504779"
"Cambic horizon"|10|11|46|25|32|50|0|21|40|"24092908"|"14504929"
"Secondary carbonates"|25|32|100|50|218|218|25|186|193|"24092908"|"14504931"
"Mollic epipedon"|0|0|0|10|11|46|10|11|46|"24092908"|"14504934"
"Slickensides"|25|32|50|150|204|218|100|172|193|"24092908"|"14504930"
"Salt accumulations"|100|161|175|150|218|218|25|57|100|"24092908"|"14504932"
"Free carbonates"|25|32|100|50|218|218|25|186|193|"24092908"|"14504933"
"Cambic horizon"|10|11|46|25|32|50|0|21|40|"24092910"|"14504935"
"Secondary carbonates"|25|32|100|50|218|218|25|186|193|"24092910"|"14504937"
"Mollic epipedon"|0|0|0|10|11|46|10|11|46|"24092910"|"14504940"
"Slickensides"|25|32|50|150|204|218|100|172|193|"24092910"|"14504936"
"Salt accumulations"|100|161|175|150|218|218|25|57|100|"24092910"|"14504938"
"Free carbonates"|25|32|100|50|218|218|25|186|193|"24092910"|"14504939"
"Cambic horizon"|50|66|91|200|200|200||134||"24093042"|"14505236"
"Mollic epipedon"|0|0|0|50|66|91|50|66|91|"24093042"|"14505235"
"Calcic horizon"|30|42|61|152|154|157|91|112|127|"24092420"|"14504416"
"Secondary carbonates"|0|0|0|152|154|157|152|154|157|"24092420"|"14504417"
"Mollic epipedon"|0|0|0|30|42|61|30|42|61|"24092420"|"14504415"
"Cambic horizon"|10|10|51|137|203|203|86|193|193|"24092421"|"14504421"
"Secondary carbonates"|10|10|51|203|203|203|152|193|193|"24092421"|"14504422"
"Mollic epipedon"|0|0|0|10|10|51|10|10|51|"24092421"|"14504418"
"Slickensides"|10|31|51|137|203|203|86|172|193|"24092421"|"14504420"
"Redox concentrations"|0|0|0|0|203|203|0|203|203|"24092421"|"14504419"
"Cambic horizon"|10|10|51|137|203|203|86|193|193|"24092541"|"14504523"
"Secondary carbonates"|10|10|51|203|203|203|152|193|193|"24092541"|"14504524"
"Mollic epipedon"|0|0|0|10|10|51|10|10|51|"24092541"|"14504520"
"Slickensides"|10|31|51|137|203|203|86|172|193|"24092541"|"14504522"
"Redox concentrations"|0|0|0|0|203|203|0|203|203|"24092541"|"14504521"
"Cambic horizon"|8|18|38|41|168|203|46|150|193|"24092542"|"14504526"
"Ochric epipedon"|0|0|0|8|18|38|10|18|18|"24092542"|"14504525"
"Free carbonates"|8|18|38|152|168|203|114|150|185|"24092542"|"14504527"
"Calcic horizon"|30|39|51|132|175|203|81|136|173|"24092543"|"14504529"
"Secondary carbonates"|0|0|0|132|175|203|132|175|203|"24092543"|"14504530"
"Mollic epipedon"|0|0|0|30|39|51|30|39|51|"24092543"|"14504528"
"Calcic horizon"|15|31|41|132|162|203|91|131|188|"24092424"|"14504432"
"Secondary carbonates"|0|0|0|132|162|203|132|162|203|"24092424"|"14504433"
"Mollic epipedon"|0|0|0|15|31|41|15|31|41|"24092424"|"14504431"
"Cambic horizon"|8|18|38|41|168|203|46|150|193|"24092425"|"14504435"
"Ochric epipedon"|0|0|0|8|18|38|10|18|18|"24092425"|"14504434"
"Free carbonates"|8|18|38|152|168|203|114|150|185|"24092425"|"14504436"
"Ochric epipedon"||0|||25|||25||"24092666"|"14504644"
"Paralithic contact"||25|||152|||127||"24092666"|"14504642"
"Free carbonates"||0|||25|||25||"24092666"|"14504643"
"Cambic horizon"|14|32|43|56|71|99||39||"24092667"|"14504646"
"Mollic epipedon"|0|0|0|23|35|52||35||"24092667"|"14504645"
"Paralithic contact"|56|80|140|62|118|315||38||"24092667"|"14504647"
"Mollic epipedon"|0|0|0|30|39|48|30|39|48|"24092668"|"14504648"
"Paralithic contact"|30|39|48|51|68|102|3|29|72|"24092668"|"14504649"
"Free carbonates"|0|0|0|30|39|48|30|39|48|"24092668"|"14504650"
"Ochric epipedon"||0|||25|||25||"24093156"|"14505531"
"Paralithic contact"||25|||152|||127||"24093156"|"14505533"
"Free carbonates"||0|||25|||25||"24093156"|"14505532"
"Cambic horizon"|14|32|43|56|71|99||39||"24093157"|"14505535"
"Mollic epipedon"|0|0|0|23|35|52||35||"24093157"|"14505534"
"Paralithic contact"|56|80|140|62|118|315||38||"24093157"|"14505536"
"Mollic epipedon"|0|0|0|30|39|48|30|39|48|"24093158"|"14505537"
"Paralithic contact"|30|39|48|51|68|102|3|29|72|"24093158"|"14505538"
"Free carbonates"|0|0|0|30|39|48|30|39|48|"24093158"|"14505539"
"Lithic contact"|10|28|50|203|203|203||175||"24093335"|"14505912"
"Mollic epipedon"|0|0|0|10|28|50|10|28|50|"24093335"|"14505911"
"Lithic contact"|25|30|50|64|71|76||41||"24093038"|"14505234"
"Mollic epipedon"|0|0|0|25|30|50|25|30|50|"24093038"|"14505233"
"Lithic contact"|10|30|50|203|203|203||173||"24093167"|"14505550"
"Mollic epipedon"|0|0|0|10|30|50|10|30|50|"24093167"|"14505549"
"Secondary carbonates"|12|56|91|203|203|203||58||"24092831"|"14504784"
"Mollic epipedon"|0|0|0|10|70|122||70||"24092831"|"14504782"
"Slickensides"|10|42|97|203|203|203||161||"24092831"|"14504783"
"Gypsum accumulations"|195|195|195|203|203|212||8||"24092831"|"14504785"
"Cambic horizon"|10|20|31|203|203|211||172||"24092832"|"14504787"
"Aquic conditions"|10|20|31|203|203|211||172||"24092832"|"14504788"
"Ochric epipedon"|0|0|0|10|20|31||20||"24092832"|"14504786"
"Slickensides"|20|43|43|185|185|211||142||"24092832"|"14504789"
"Cambic horizon"|18|68|100|203|203|203||112||"24092833"|"14504791"
"Mollic epipedon"|0|0|0|50|68|150||68||"24092833"|"14504790"
"Cambic horizon"|51|102|152|203|203|203|51|101|152|"24093301"|"14505873"
"Secondary carbonates"|36|56|64|203|203|203|139|147|167|"24093301"|"14505874"
"Mollic epipedon"|0|0|0|51|102|152|51|102|152|"24093301"|"14505872"
"Cambic horizon"|25|46|58|203|203|203|145|157|178|"24093302"|"14505878"
"Secondary carbonates"|71|71|183|203|203|203|20|132|132|"24093302"|"14505876"
"Mollic epipedon"|0|0|0|25|46|58|25|46|58|"24093302"|"14505877"
"Gypsum accumulations"|121|183|203|203|203|203|0|20|82|"24093302"|"14505875"
"Abrupt textural change"|15|25|38|15|25|38|0|0|2|"24093212"|"14505660"
"Ochric epipedon"|0|0|0|15|25|38|15|25|38|"24093212"|"14505659"
"Argillic horizon"|15|25|38|71|76|102|45|51|87|"24093212"|"14505661"
"Abrupt textural change"|15|25|38|15|25|40|0|0|2|"24092516"|"14504473"
"Ochric epipedon"|0|0|0|15|25|38|15|25|38|"24092516"|"14504472"
"Argillic horizon"|15|25|38|71|76|102|45|51|87|"24092516"|"14504474"
"Abrupt textural change"|0|15|25|0|15|27|0|0|2|"24092512"|"14504471"
"Ochric epipedon"|0|0|0|0|15|25|0|15|25|"24092512"|"14504469"
"Argillic horizon"|0|15|25|71|76|102|45|61|87|"24092512"|"14504470"
"Cambic horizon"|50|81|107|203|203|203||122||"24092935"|"14505014"
"Mollic epipedon"|0|0|0|50|81|107|50|81|107|"24092935"|"14505013"
"Ochric epipedon"|0|0|0|15|51|51|15|51|51|"24092946"|"14505017"
"Lithic contact"|33|43|51|152|152|152||109||"24092865"|"14504834"
"Mollic epipedon"|0|0|0|18|43|51|18|43|51|"24092865"|"14504833"
"Argillic horizon"|8|15|20|33|43|51|25|28|38|"24092865"|"14504835"
