"not used"|"24092832"|"16901703"
"not used"|"24092833"|"16901704"
"not used"|"24093301"|"16901789"
"not used"|"24093302"|"16901790"
"not used"|"24092813"|"16901696"
"not used"|"24092701"|"16901684"
"not used"|"24092586"|"16901658"
"not used"|"24092702"|"16901685"
"not used"|"24092587"|"16901659"
"not used"|"24093212"|"16901775"
"not used"|"24092516"|"16901647"
"not used"|"24092512"|"16901646"
"not used"|"24092588"|"16901660"
"not used"|"24092703"|"16901686"
"not used"|"24092589"|"16901661"
"not used"|"24092704"|"16901687"
"not used"|"24092814"|"16901697"
"not used"|"24092815"|"16901698"
"not used"|"24092934"|"16901720"
"not used"|"24092935"|"16901721"
"not used"|"24092936"|"16901722"
"not used"|"24092937"|"16901723"
"not used"|"24092944"|"16901724"
"not used"|"24092945"|"16901725"
"not used"|"24092946"|"16901726"
"not used"|"24092947"|"16901727"
"not used"|"24092948"|"16901728"
"not used"|"24092865"|"16901705"
"not used"|"24092866"|"16901706"
"shallow"|"24092867"|"16901707"
"not used"|"24092869"|"16901708"
