# ----------------------------------------
# SACRD.org v2 - GA4
# Portal Events-Portals
# 20260101-20260131
# ----------------------------------------

,,,Segment,Is US Portal,Totals
URL,Search,Entity type,Entity ID,Event count,Event count
https://sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=303,attribute,303,8,8
https://sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=301,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=301,attribute,301,8,8
https://sacrd.org/portal/housingservices/?zipcode=78207&lat=29.42364&lng=-98.48647&gp=mainPage&a=301,"?zipcode=78207&lat=29.42364&lng=-98.48647&gp=mainPage&a=301,427&nhw=12&gr=107",attribute,427,8,8
https://sacrd.org/portal/housingservices/?zipcode=78218&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78218&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,attribute,302,8,8
https://sacrd.org/portal/housingservices/?zipcode=78218&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78218&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,guideme,-,8,8
https://sacrd.org/portal/housingservices/?zipcode=78240&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78240&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,attribute,302,8,8
https://sacrd.org/portal/housingservices/?zipcode=78240&lat=29.42364&lng=-98.48647&gp=hsp_mastersele,?zipcode=78240&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,guideme,-,8,8
https://sacrd.org/portal/housingservices/?zipcode=78245&lat=29.42364&lng=-98.48647&gp=hsp_startingpa,?zipcode=78245&lat=29.42364&lng=-98.48647&gp=hsp_startingpage,guideme,-,8,8
https://sacrd.org/portal/housingservices/?zipcode=78251&lat=29.42364&lng=-98.48647&gp=hsp_needhelpwi,?zipcode=78251&lat=29.42364&lng=-98.48647&gp=hsp_needhelpwith&a=302&nhw=3,guideme,-,8,8
https://www.sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_needhe,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_needhelpwith&a=303&nhw=0,guideme,-,8,8
https://www.sacrd.org/portal/housingservices/?zipcode=78207&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78207&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,attribute,302,8,8
https://www.sacrd.org/portal/housingservices/?zipcode=78218&gp=mainPage,?zipcode=78218&gp=mainPage,clear,-,8,8
https://www.sacrd.org/portal/housingservices/?zipcode=78245&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78245&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,attribute,302,8,8
https://www.sacrd.org/portal/housingservices/?zipcode=78245&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78245&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,guideme,-,8,8
https://www.sacrd.org/portal/housingservices/?zipcode=78264&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78264&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=301,attribute,301,8,8
