id,name,portal
703,"First Responders",Substance Use
505,"For Homeowners",Housing Services
831,"Foreclosure Prevention",Older Adults
715,"Future & Estate Planning",IDD and Disability Support
742,"Future & Estate Planning",IDD and Disability Support
904,"General Volunteer Placement",Older Adults
853,"Grocery Shopping Services",Older Adults
621,"Health Education",Hill Country Resources
769,"Home Accessibility Modifications & Repair",IDD and Disability Support
392,"In-home Personal Assistance",Housing Services
747,"In-Home Personal Assistance",IDD and Disability Support
774,"Inclusive Hiring Programs",IDD and Disability Support
653,"Individual Therapy and Counseling",Substance Use
801,"Languages other than Spanish, ASL, or English",IDD and Disability Support
920,"Languages other than Spanish, ASL, or English",Older Adults
533,"Low-Barrier Shelter",Housing Services
282,"Medical Supplies",Big Bend Regional Resource Directory
696,"Medicare",Substance Use
804,"Medicare",IDD and Disability Support
923,"Medicare",Older Adults
762,"Mental & Behavioral Health Services",IDD and Disability Support
560,"Non-binary",Mental Healthcare Portal
690,"Older Adults (55+)",Substance Use
190,"On-Site Support Services",Housing Finder
680,"Outpatient Services and Treatment",Substance Use
657,"Personal or Voluntary Testing",Substance Use
752,"Post-Secondary & College Programs",IDD and Disability Support
674,"Recovery-Friendly Employer Networks",Substance Use
837,"Rural Transportation Services",Older Adults
901,"Scam & Fraud Education",Older Adults
662,"Supplies Exchange",Substance Use
795,"Teens",IDD and Disability Support
551,"Transgender Man",Mental Healthcare Portal
618,"Transportation Assistance",Hill Country Resources
782,"Transportation Assistance",IDD and Disability Support
594,"Utility Assistance",Hill Country Resources
317,"Utility Assistance - Electric",Housing Services
757,"Vocational Rehabilitation",IDD and Disability Support
650,"Youth Prevention Programs",Substance Use
169,"Bankruptcy",Housing Finder
147,"Pet Deposit/One-Time Fee",Housing Finder
155,"Section 8 Vouchers",Housing Finder
136,"South",Housing Finder
114,"2BR",Housing Finder
872,"Assisted Living Facilities",Older Adults
591,"Benefits Navigation",Hill Country Resources
480,"Couple with Children",Housing Services
733,"Device Loan & Reuse",IDD and Disability Support
787,"Disabled Veterans",IDD and Disability Support
895,"Emergency Response",Older Adults
517,"Enroll for Supported Housing (Homelink)",Housing Services
778,"Faith Community Inclusion",IDD and Disability Support
729,"Functional & Behavioral Assessments",IDD and Disability Support
716,"General Legal Aid & Counsel",IDD and Disability Support
821,"Grief Counseling",Older Adults
832,"Guardianship Support",Older Adults
617,"Help Finding Work",Hill Country Resources
281,"Help Pay for Healthcare",Big Bend Regional Resource Directory
889,"Hoarding Support & Cleanup",Older Adults
595,"Home Repairs",Hill Country Resources
301,"Homeowner",Housing Services
859,"Hospice Care",Older Adults
770,"Housing Search Assistance & Vouchers",IDD and Disability Support
440,"In-home Healthcare",Housing Services
748,"Independent Living Skills Training",IDD and Disability Support
704,"Justice Involved",Substance Use
685,"Languages other than Spanish and English",Substance Use
912,"Late-Life Housing Insecurity",Older Adults
845,"Long-term Care Planning",Older Adults
854,"Meal Delivery",Older Adults
905,"Meal Delivery Volunteers",Older Adults
670,"Narcotics Anonymous",Substance Use
552,"Non-Binary",Mental Healthcare Portal
622,"Nutrition Education",Hill Country Resources
763,"Occupational Therapy (OT)",IDD and Disability Support
556,"Other Language(s)",Mental Healthcare Portal
697,"Payment Plans Available",Substance Use
805,"Payment Plans Available",IDD and Disability Support
924,"Payment Plans Available",Older Adults
654,"Peer Support and Coaching",Substance Use
816,"Peer-to-Peer Coaching for Caregivers",Older Adults
181,"Permanent Supportive Housing",Housing Finder
681,"Residential/Inpatient Services and Treatment",Substance Use
743,"Respite Care",IDD and Disability Support
838,"Shopping Transportation",Older Adults
753,"Special Education Services",IDD and Disability Support
738,"Special Needs Trusts & ABLE Accounts",IDD and Disability Support
638,"Support Groups",Hill Country Resources
691,"Teenagers (13-17)",Substance Use
783,"Travel Training",IDD and Disability Support
518,"Utility Assistance - Gas",Housing Services
561,"Veteran",Mental Healthcare Portal
675,"Vocational and Skills Training",Substance Use
758,"Volunteer Opportunities",IDD and Disability Support
796,"Young Adults",IDD and Disability Support
634,"Youth Activities",Hill Country Resources
527,"Home Visits/Socialization",Housing Services
170,"Misdemeanor",Housing Finder
183,"Pet Rent",Housing Finder
137,"Southwest",Housing Finder
156,"Tax Credits",Housing Finder
115,"2BR",Housing Finder
797,"Adults",IDD and Disability Support
553,"Agender/Doesn't Identify as Any Gender",Mental Healthcare Portal
