# ----------------------------------------
# SACRD.org v2 - GA4
# Page View Events-Page Views
# 20250901-20250930
# ----------------------------------------

,Segment,Is page view,Totals
Page location,Page referrer,Event count,Event count
https://sacrd.org/portal/sadigitalconnects/,https://sacrd.org/directory/,51,51
https://www.sacrd.org/directory/organization/2284,https://www.google.com/,51,51
https://www.sacrd.org/login,https://www.sacrd.org/directory/,51,51
https://www.sacrd.org/portal/mhp/,,51,51
https://sacrd.org/directory/program/13545,https://sacrd.org/directory/,50,50
https://www.sacrd.org/directory/program/1280,https://www.google.com/,50,50
https://www.sacrd.org/directory/program/844,https://www.google.com/,50,50
https://www.sacrd.org/directory/subcategory/home-repairs,https://www.google.com/,50,50
https://www.sacrd.org/directory/program/12690,https://www.google.com/,49,49
https://www.sacrd.org/directory/program/14962,,49,49
https://sacrd.org/directory/subcategory/help-pay-for-housing?page=2,https://sacrd.org/directory/subcategory/help-pay-for-housing,48,48
https://www.sacrd.org/MentalHealth/?zip=76701,https://www.waco-texas.com/,48,48
https://www.sacrd.org/directory/program/2583,https://www.google.com/,48,48
https://www.sacrd.org/directory/program/7075,https://www.google.com/,48,48
https://www.sacrd.org/directory/program/7650,https://www.google.com/,48,48
https://www.sacrd.org/directory/program/9539,https://www.google.com/,48,48
https://www.sacrd.org/directory/subcategory/emergency-shelter,https://www.sacrd.org/directory/,48,48
https://sacrd.org/directory/organization/3546,https://sacrd.org/directory/program/16900,47,47
https://sacrd.org/es/directory/program/493,,47,47
https://www.sacrd.org/directory/organization/1268,https://www.google.com/,47,47
https://www.sacrd.org/directory/program/10701,https://www.google.com/,47,47
https://www.sacrd.org/directory/program/614,https://www.google.com/,47,47
https://www.sacrd.org/directory/program/6948,https://www.google.com/,47,47
https://www.sacrd.org/directory/program/7999,https://www.sacrd.org/directory/program/7999,47,47
https://www.sacrd.org/directory/program/8788,https://www.google.com/,47,47
https://www.sacrd.org/directory/,https://search.yahoo.com/,46,46
https://www.sacrd.org/directory/organization/1495,https://www.google.com/,46,46
https://www.sacrd.org/directory/program/11284,https://www.google.com/,45,45
https://www.sacrd.org/directory/program/12185,https://www.google.com/,45,45
https://www.sacrd.org/directory/program/6024,https://www.google.com/,45,45
https://www.sacrd.org/directory/subcategory/help-pay-for-housing,https://www.sacrd.org/directory/program/16900,45,45
https://www.sacrd.org/directory/organization/1804,https://www.google.com/,44,44
https://www.sacrd.org/directory/organization/1982,https://www.sacrd.org/directory/,44,44
https://www.sacrd.org/directory/program/1456,https://www.google.com/,44,44
https://www.sacrd.org/directory/program/16012,https://www.sacrd.org/directory/subcategory/help-pay-for-utilities,44,44
https://www.sacrd.org/directory/program/6759,https://www.google.com/,44,44
https://www.sacrd.org/directory/program/598,https://www.google.com/,43,43
https://www.sacrd.org/directory/program/8777,https://www.google.com/,43,43
https://www.sacrd.org/directory/subcategory/help-pay-for-utilities,https://www.sacrd.org/directory/program/7557,43,43
https://www.bigbendhelp.org/es/directory/program/12336,https://www.google.com/,42,42
https://www.sacrd.org/directory/,https://www.closetohomesa.org/,42,42
https://www.sacrd.org/directory/program/11222,https://www.sacrd.org/directory/program/11222,42,42
https://www.sacrd.org/directory/program/12111,https://www.google.com/,42,42
https://www.sacrd.org/directory/program/5840,https://www.google.com/,42,42
https://www.sacrd.org/directory/program/6999,https://www.google.com/,42,42
https://www.sacrd.org/directory/program/9414,https://www.google.com/,42,42
https://www.sacrd.org/directory/subcategory/showers,https://www.google.com/,42,42
https://www.sacrd.org/directory/subcategory/tenants-rights,https://www.sacrd.org/directory/,42,42
https://www.sacrd.org/via/,,42,42
https://www.sacrd.org/directory/organization/1342,https://www.google.com/,41,41
https://www.sacrd.org/directory/organization/1494,https://www.google.com/,41,41
https://www.sacrd.org/directory/organization/1982,,41,41
https://www.sacrd.org/directory/organization/3651,https://www.google.com/,41,41
https://www.sacrd.org/directory/program/14870,https://www.google.com/,41,41
https://www.sacrd.org/directory/program/246,https://www.sacrd.org/directory/subcategory/help-pay-for-utilities,41,41
https://sacrd.org/TEXA/,,40,40
https://sacrd.org/directory/subcategory/tenants-rights,https://sacrd.org/directory/,40,40
https://sacrd.org/es/directory/,https://sacrd.org/directory/,40,40
https://sacrd.org/housingservices/,,40,40
https://www.sacrd.org/directory/,https://www.sa.gov/,40,40
https://www.sacrd.org/directory/organization/1575,https://www.google.com/,40,40
https://www.sacrd.org/directory/program/11376,https://www.google.com/,40,40
https://www.sacrd.org/directory/program/1901,https://www.google.com/,40,40
https://www.sacrd.org/directory/program/343,https://www.google.com/,40,40
https://www.sacrd.org/directory/program/5876,https://www.google.com/,40,40
https://www.sacrd.org/directory/program/8790,,40,40
https://www.sacrd.org/directory/subcategory/food-delivery,https://www.google.com/,40,40
https://www.sacrd.org/directory/subcategory/food-pantry?page=2,https://www.sacrd.org/directory/subcategory/food-pantry,40,40
https://www.sacrd.org/directory/contact-us,https://www.sacrd.org/directory/,39,39
https://www.sacrd.org/directory/program/11285,https://www.google.com/,39,39
https://www.sacrd.org/es/directory/program/3338,https://www.google.com/,39,39
https://www.sacrd.org/directory/organization/2530,https://www.sacrd.org/directory/program/7557,38,38
https://www.sacrd.org/directory/organization/3798,https://www.google.com/,38,38
https://www.sacrd.org/directory/program/13017,https://www.sacrd.org/directory/program/13017,38,38
https://www.sacrd.org/directory/program/14680,https://www.google.com/,38,38
https://www.sacrd.org/directory/program/15311,https://www.google.com/,38,38
https://www.sacrd.org/directory/program/18962,https://www.sacrd.org/directory/subcategory/help-pay-for-housing,38,38
https://www.sacrd.org/directory/program/237,https://www.google.com/,38,38
https://www.sacrd.org/directory/program/274,https://www.google.com/,38,38
https://www.sacrd.org/directory/program/454,https://www.google.com/,38,38
https://www.sacrd.org/directory/program/8401,https://www.google.com/,38,38
https://www.sacrd.org/directory/organization/1558,https://www.google.com/,37,37
https://www.sacrd.org/directory/program/16913,https://www.google.com/,37,37
https://www.sacrd.org/directory/program/203,https://www.google.com/,37,37
