SUBCATEGORY,CATEGORY,DESCRIPTION,LESS-BROAD,BROAD,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
HnC3,Hn,"Heiden-Ferris complex, 3 to 5 percent slopes, severely eroded",complex,complex,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
HoD3,Ho,"Heiden-Ferris complex, 5 to 10 percent slopes, severely eroded",complex,complex,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
HsA,Hs,"Houston Black clay, 0 to 1 percent slopes",clay,clay,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
HsB,Hs,"Houston Black clay, 1 to 3 percent slopes",clay,clay,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
HsC,Hs,"Houston Black clay, 3 to 5 percent slopes",clay,clay,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
HtA,Ht,"Branyon clay, 0 to 1 percent slopes",clay,clay,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
HtB,Ht,"Branyon clay, 1 to 3 percent slopes",clay,clay,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
HuB,Hu,"Houston Black gravelly clay, 1 to 3 percent slopes",gravelly clay,clay,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
HuC,Hu,"Houston Black gravelly clay, 3 to 5 percent slopes",gravelly clay,clay,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
HuD,Hu,"Houston Black gravelly clay, 5 to 8 percent slopes",gravelly clay,clay,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
KaB,Ka,"Atco loam, 1 to 3 percent slopes",loam,loam,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
KaC,Ka,"Atco loam, 3 to 5 percent slopes",loam,loam,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
KcC2,Kc,"Atco clay loam, 3 to 5 percent slopes, eroded",clay loam,loam,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kr,Kr,"Krum clay, 1 to 5 percent slopes",clay,clay,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
LfB,Lf,"Leming loamy fine sand, 0 to 3 percent slopes",sand,sand,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
LvA,Lv,"Lewisville silty clay, 0 to 1 percent slopes",silty clay,clay,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
LvB,Lv,"Lewisville silty clay, 1 to 3 percent slopes",silty clay,clay,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
