"ProjectCategory","SMPProjectID","CouncilDistrict","ProjectStreet","StreetFrom","StreetTo","ProjectLimits","FiscalYear","Application","Type_","Force","WeightedPCI","PBaseFail","FieldBasePave","PFlatWork","EstTotalCost","ProjectStatus","ScheduleStart","ScheduleFinish","ActualStart","ActualFinish","ProjectManager","Contact","Shape_Length","Sealant_App","PCI_Factor","ActStart","ActFinish","ActDuration","START","Oday","Odate","Omonth","Ohour","Oyear","Otime"
"Preservation","17450","2","Centerway","Moonlight Terrace","Twilight Terrace","Centerway From Moonlight Terrace To Twilight",2017,"Fog Seal - City","Sealant","City",53,0,0,0,3637.1295545847,"0",NA,NA,NA,NA,NA,NA,752.451012473083,"Fog Seal","D (41-60)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17454","10","Farber Dale","Tarkio Way","Eldon Rock","Farber Dale From Tarkio Way To Eldon Rock",2014,"Fog Seal - City","Sealant","City",86,0,0,0,9506.83611393588,"0",NA,NA,NA,NA,NA,NA,746.564571174797,"Fog Seal","A (86-100)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17457","2","Roundtree","Overlook Dr","Suddith","Roundtree From Overlook Dr To Suddith",2014,"Slurry Seal - City","Sealant","City",79,0,0,0,11714.9132790462,"AP Change to from 25 to 27",NA,NA,NA,NA,NA,NA,599.8058242584,"Slurry Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17463","10","Arcadia Park","Drexel Run","Granger Patch","Arcadia Park From Drexel Run To Granger Patch",2014,"Fog Seal - City","Sealant","City",99,0,0,0,24607.2134039004,"Change AP from 9 to 25",NA,NA,NA,NA,NA,NA,2415.73232903195,"Fog Seal","A (86-100)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17464","10","Emden Holw","Garwood Chase","Darien Wing","Emden Holw From Garwood Chase To Darien Wing",2014,"Fog Seal - City","Sealant","City",86,0,0,0,8136.99667207427,"0",NA,NA,NA,NA,NA,NA,639.033364484608,"Fog Seal","A (86-100)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17465","10","Harper's Bend Dr","Burning Crk","Misty Bend Dr","Harper's Bend Dr From Burning Crk To Misty Bend Dr",2017,"Fog Seal - City","Sealant","City",61,0,0,0,7772.40758780285,"Base Budget",NA,NA,NA,NA,NA,NA,1699.54069788873,"Fog Seal","C (61-70)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17518","6","Piccadilly","Rob Roy Ln","Cul-De-Sac","Piccadilly From Rob Roy Ln To Cul-De-Sac",2014,"Fog Seal - City","Sealant","City",79,0,0,0,4952.9805903571,"APCode Change",NA,NA,NA,NA,NA,NA,211.639739898485,"Fog Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17520","6","British Arms","Copperfield","Cul-De-Sac","British Arms From Copperfield To Cul-De-Sac",2014,"Crack Seal - City","Sealant","City",91,0,0,0,238.548052459537,"0",NA,NA,NA,NA,NA,NA,267.347956270195,"Crack Seal","A (86-100)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17559","6","Meadow Sun","Timber View Dr","Meadow Rain","Meadow Sun From Timber View Dr To Meadow Rain",2015,"Fog Seal - City","Sealant","City",76,0,0,0,9620.88370233676,"ApCode Change",NA,NA,NA,NA,NA,NA,736.420037878511,"Fog Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17561","6","Galesburg","Brandyridge","Barnsley","Galesburg From Brandyridge To Barnsley",2017,"Fog Seal - City","Sealant","City",80,0,0,0,5763.68978299991,"APCode Change",NA,NA,NA,NA,NA,NA,1351.32277277073,"Fog Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17730","5","Alta Sita","S General McMullen","Dead End","Alta Sita From S General McMullen To Dead End",2015,"Slurry Seal - City","Sealant","City",39,10,0,10,21956.8474082784,"No Change",NA,NA,NA,NA,NA,NA,982.971710145687,"Slurry Seal","F (0-40)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17798","5","Illg","Nogalitos St","S Zarzamora","Illg From Nogalitos St To S Zarzamora",2014,"Fog Seal - City","Sealant","City",79,0,0,0,17977.4060387824,"0",NA,NA,NA,NA,NA,NA,1412.02036421068,"Fog Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
